filepath,filename,sti_score,standard_noise_percent,standard_reverb_percent,standard_noise_loss,standard_reverb_loss,simple_noise_percent,simple_reverb_percent,simple_noise_loss,simple_reverb_loss,snr_per_band,avg_snr,ti_per_band,ti_mtf,ti_noise,theoretical_rt60,theoretical_snr
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR10dB.wav,stipa_1.88s_ambient noise_SNR10dB.wav,0.588,7.458,92.542,0.033,0.406,7.938,92.062,0.033,0.380,"[np.float64(9.751245701267237), np.float64(26.737861952209144), np.float64(19.89551448213124), np.float64(26.268365020362893), np.float64(23.605119594367594), np.float64(22.305022088016088), np.float64(26.1133348802225)]",22.097,"[0.50592449 0.67120322 0.52628467 0.52022595 0.59135286 0.68989808
 0.59289664]","[0.50592449 0.67120322 0.52628467 0.52022595 0.59135286 0.68989808
 0.59289664]","[0.82504152 1.         1.         1.         1.         1.
 1.        ]",1.880,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR-10dB.wav,stipa_2.58s_ambient noise_SNR-10dB.wav,0.356,79.766,20.234,0.397,0.101,61.656,38.344,0.397,0.247,"[np.float64(-2.550297008498077), np.float64(4.001492828848469), np.float64(2.576110264139408), np.float64(4.1765560272125075), np.float64(1.699017399003986), np.float64(4.3276409234963005), np.float64(8.66414080515465)]",3.271,"[0.4149901  0.42234478 0.40964835 0.33861242 0.29100819 0.35135186
 0.3275861 ]","[0.44950305 0.42234478 0.40964835 0.33861242 0.29100819 0.35135186
 0.3275861 ]","[0.4149901  0.63338309 0.58587034 0.63921853 0.55663391 0.6442547
 0.78880469]",2.580,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR0dB.wav,stipa_2.58s_ambient noise_SNR0dB.wav,0.412,14.047,85.953,0.093,0.569,15.803,84.197,0.093,0.495,"[np.float64(5.2908945426031595), np.float64(13.987973889388542), np.float64(12.598619053075815), np.float64(14.215121518770243), np.float64(11.737572075649547), np.float64(14.331118597452495), np.float64(18.66288838218894)]",12.975,"[0.47991147 0.48954828 0.48034535 0.36350036 0.35356065 0.42050971
 0.35385589]","[0.47991147 0.48954828 0.48034535 0.36350036 0.35356065 0.42050971
 0.35385589]","[0.67636315 0.9662658  0.91995397 0.97383738 0.8912524  0.97770395
 1.        ]",2.580,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR10dB.wav,stipa_2.58s_ambient noise_SNR10dB.wav,0.430,1.786,98.214,0.010,0.568,1.812,98.188,0.010,0.560,"[np.float64(14.925468902814805), np.float64(23.983940307319564), np.float64(22.601399682238803), np.float64(24.219318413412985), np.float64(21.747592886703323), np.float64(24.334084223259254), np.float64(28.657862084970773)]",22.924,"[0.53197169 0.50593305 0.49647879 0.37129825 0.3696725  0.43645403
 0.35914068]","[0.53197169 0.50593305 0.49647879 0.37129825 0.3696725  0.43645403
 0.35914068]","[0.99751563 1.         1.         1.         1.         1.
 1.        ]",2.580,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR-10dB.wav,stipa_3.57s_ambient noise_SNR-10dB.wav,0.367,72.312,27.688,0.426,0.163,67.254,32.746,0.426,0.207,"[np.float64(-4.202498856913221), np.float64(5.523702597456669), np.float64(4.080127088769894), np.float64(3.458489178243086), np.float64(1.1045457386430892), np.float64(2.213965192743325), np.float64(5.206726998696079)]",2.484,"[0.3599167  0.40675907 0.37917965 0.35792101 0.33163763 0.38911916
 0.37622175]","[0.43500244 0.40675907 0.37917965 0.35792101 0.33163763 0.38911916
 0.37622175]","[0.3599167  0.68412342 0.63600424 0.61528297 0.53681819 0.57379884
 0.67355757]",3.570,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR0dB.wav,stipa_3.57s_ambient noise_SNR0dB.wav,0.443,19.091,80.909,0.112,0.475,20.106,79.894,0.112,0.445,"[np.float64(2.7683367782549215), np.float64(15.550472254288854), np.float64(14.104608437051596), np.float64(13.51141525625881), np.float64(11.161625910710725), np.float64(12.18943973105382), np.float64(15.205101469069465)]",12.070,"[0.45283187 0.44372054 0.44079491 0.40339929 0.4266287  0.50834418
 0.44088685]","[0.45283187 0.44372054 0.44079491 0.40339929 0.4266287  0.50834418
 0.44088685]","[0.59227789 1.         0.97015361 0.95038051 0.8720542  0.90631466
 1.        ]",3.570,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR10dB.wav,stipa_3.57s_ambient noise_SNR10dB.wav,0.466,3.916,96.084,0.022,0.531,4.049,95.951,0.022,0.513,"[np.float64(12.313767638891415), np.float64(25.559449812260514), np.float64(24.109658271428366), np.float64(23.518700018757915), np.float64(21.17697357797411), np.float64(22.18475753331493), np.float64(25.200962209283)]",22.009,"[0.50031063 0.45444793 0.45539236 0.41636543 0.45020933 0.53940648
 0.45577771]","[0.50031063 0.45444793 0.45539236 0.41636543 0.45020933 0.53940648
 0.45577771]","[0.91045892 1.         1.         1.         1.         1.
 1.        ]",3.570,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR-10dB.wav,stipa_3.60s_ambient noise_SNR-10dB.wav,0.354,86.424,13.576,0.469,0.074,72.570,27.430,0.469,0.177,"[np.float64(-4.527166696397273), np.float64(5.593496633617564), np.float64(4.453802507414787), np.float64(3.3805311606358908), np.float64(-0.4513550520762668), np.float64(-0.8599981491576416), np.float64(1.8880084168293183)]",1.354,"[0.34909444 0.47267675 0.43034984 0.38445949 0.29427097 0.28351673
 0.34880793]","[0.43098636 0.47267675 0.43034984 0.38445949 0.29427097 0.28351673
 0.34880793]","[0.34909444 0.68644989 0.64846008 0.61268437 0.48495483 0.4713334
 0.56293361]",3.600,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR0dB.wav,stipa_3.60s_ambient noise_SNR0dB.wav,0.445,24.905,75.095,0.155,0.469,27.991,72.009,0.155,0.400,"[np.float64(2.2096622384825633), np.float64(15.683056086014101), np.float64(14.466453037974532), np.float64(13.431377612592934), np.float64(9.587127534685646), np.float64(9.111603754105762), np.float64(11.871964221224305)]",10.909,"[0.45663895 0.53087755 0.51049817 0.43884657 0.39595046 0.40543999
 0.44736012]","[0.45663895 0.53087755 0.51049817 0.43884657 0.39595046 0.40543999
 0.44736012]","[0.57365541 1.         0.9822151  0.94771259 0.81957092 0.80372013
 0.89573214]",3.600,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR10dB.wav,stipa_3.60s_ambient noise_SNR10dB.wav,0.477,4.459,95.541,0.024,0.518,4.623,95.377,0.024,0.499,"[np.float64(11.730600269716042), np.float64(25.711437476140063), np.float64(24.467966667661397), np.float64(23.43761497190688), np.float64(19.595271783933573), np.float64(19.108096855819564), np.float64(21.872785589421028)]",20.846,"[0.54578586 0.54406393 0.53174292 0.45109265 0.42253916 0.44588107
 0.47074365]","[0.54578586 0.54406393 0.53174292 0.45109265 0.42253916 0.44588107
 0.47074365]","[0.89102001 1.         1.         1.         1.         1.
 1.        ]",3.600,10.000
